title,authors,subjects
The frog in the well,Alvin Tresselt,"Children's fiction,Picture books"
Der wildeste Bruder der Welt,Cornelia Maria Funke,"Brothers and sisters,Juvenile fiction,Fiction,Imagination,Courage,Children's stories,Siblings,Monsters,Pictorial works,Picture books,Brothers and sisters, fiction,Bedtime, fiction,Children's fiction,Fear,Spanish language materials,Cuentos infantiles,Hermanos y hermanas,Novela juvenil,Spanish language,Accessible book,Protected DAISY"
The Complete Illustrated Works (Alice's Adventures in Wonderland / Alice's Adventures Under Ground / Hunting of the Snark / Rhyme? and Reason? / Sylvie and Bruno / Sylvie and Bruno Concluded / Tangled Tale / Three Sunsets / Through the Looking-Glass and What Alice Found There),Lewis Carroll,"fiction,adventure and adventurers,adventure stories,adventure travel,animals,anthropomorphism,artists' illustrated books,books and reading,british and irish fiction (fictional works by one author),child and youth fiction,children,children's fiction,children's literature,children's stories,classic literature,classics,Crocheting,croquet,curiosidad,curiosity,curiosity in children,english adventure stories,english fantastic fiction,english fantasy fiction,english fantasy literature,english language,english literature,english nonsense verses,fairy tales,fantasy,fantasy & magic,fantasy fiction,fantasy  magic,friendship,girls,hookahs,humor,humorous stories,illustrations,imaginary places,Imagination,imagination & play,juvenile fiction,juvenile literature,legends,literary nonsense,logic,mythical animals,nonsense verses,picture books,playing cards,rabbits,tea,Alice (Fictitious character : Carroll),Literatura infanto-juvenil,Literatura inglesa,Accessible book,Protected DAISY"
"Happy Valentine's Day, Charlie Brown!",Scott Jeralds,"Juvenile fiction,Internpersonal relations,Fiction,Interpersonal relations,Courage,Love,Friendship,Valentine's Day,Picture books,Readers (Primary),Children's fiction,Accessible book,Protected DAISY"
Diez Semillas / Ten Seeds,Ruth Brown,"Counting,Plantas,Contar (Enumerar),Ciclos vitales,Juvenile literature,Plant life cycles,Literatura juvenil,Counting -- Juvenile literature.,Plant life cycles -- Juvenile literature.,Counting.,Plant life cycles.,Contar (Enumerar) -- Literatura juvenil.,Plantas -- Ciclos vitales -- Literatura juvenil.,Juvenile fiction,Pictorial works,Children's stories,Children's fiction,Sunflowers, fiction,Picture books,Counting books,Accessible book,Protected DAISY"
Something Beautiful,Sharon Dennis Wyeth,"African Americans,City and town life,Fiction,Juvenile fiction,Picture books,Children's fiction,African americans, fiction,Family life, fiction,Cities and towns, fiction,Accessible book,Protected DAISY"
The Maggie B,Irene Haas,"Fiction,Boats and boating,Wishes,Children's stories,Sailing, fiction,Brothers and sisters, fiction,Picture books"
How to hide a crocodile & other reptiles,Ruth Heller,"Protective coloration (Biology),Color,Reptiles,Camouflage (Biology),Juvenile literature,Reptielen,Camouflage,Krokodillen,Reptiles, juvenile literature,Picture books,Crocodiles,Accessible book,Protected DAISY"
Old MacDonald had a boat,Steve Goetz,"Boats and boating,Juvenile fiction,Farm life,Stories in rhyme,Children's fiction,Picture books,Boats and boating, fiction,Farm life, fiction"
Green eyes,Abe Birnbaum,"Animals,Infancy,Juvenile fiction,Fiction,Cats,Seasons,Children's fiction,Cats, fiction,Seasons, fiction,Animals, fiction,Picture books,collectionID:caldecotthonor50,Accessible book,Protected DAISY"
Rain makes applesauce,Jerry Pinkney,"American Nonsense literature,Picture Books for Children,Children's literature,Nonsense verses,Children's fiction,Picture books,collectionID:caldecotthonor60,Accessible book,Protected DAISY"
Walking in a winter wonderland,Felix Bernard,"Juvenile fiction,Play,Winter,English Songs,Children's fiction,Winter, fiction,Picture books"
Little Pea,Jen Corace,"Food habits,Peas,Fiction,Juvenile fiction,Children's fiction,Food habits, fiction,Picture books,Accessible book,Protected DAISY"
It's raining!,Suzanne Toren,"Meteorology,Juvenile literature,Picture books,Rain,Rain and rainfall,Accessible book,Protected DAISY"
The grey lady and the strawberry snatcher,Molly Bang,"Strawberries,Stories without words,Fiction,Juvenile fiction,Children's fiction,Picture books,Fantasy fiction,collectionID:caldecotthonor80,Accessible book,Protected DAISY"
All about Faith,Sharon E. Lamson,"Faith,English Bible stories,Biblical teaching,Bible stories,Juvenile literature,O.T.,Early learning / early learning concepts,Children's 4-8 - Bibles,Juvenile Nonfiction,Children's Books/Ages 4-8 Nonfiction,Children: Grades 3-4,Religion - Bible - Stories,Daniel (Biblical figure),Juvenile Fiction / Religious / Christian,Moses (Biblical leader),Noah (Biblical figure),Picture Books,Religion - Biblical Stories,Bible stories, English,Old Testament"
Why the chicken crossed the road,David Macaulay,"Humorous stories,Children's stories,Picture books,Children's fiction,Accessible book,Protected DAISY"
I need my monster,Amanda Noll,"Monsters,Picture books,Night,Juvenile fiction,Bedtime,Fear,Fiction,Fear of the dark,Children's fiction,Monsters, fiction,Bedtime, fiction,Accessible book,Protected DAISY"
The Other Side of the Story,Trisha Sue Speed Shaskan,"Fairy tales,History and criticism,Picture books,Picture books for children,Fairy tales, history and criticism"
Stranger in the Mirror,Allen Say,"Fiction,Asian Americans,Old age,Juvenile fiction,Skateboarding,Old age, fiction,Children's fiction,Asian americans, fiction,Fantasy fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
On Mother's lap,Ann Herbert Scott,"Eskimos,Mother and child,Fiction,Mother and child -- Fiction.,Indians of North America,Eskimos -- Fiction.,Picture books,Juvenile fiction,Eskimos, fiction,Indians of north america, fiction,Children's fiction,Mothers, fiction,Accessible book,Protected DAISY"
Yucky worms,Vivian French,"Fiction,Gardening,Earthworms,Grandmothers,Juvenile fiction,Earthworms, juvenile literature,Picture books,Accessible book,Protected DAISY"
Pepi and the secret names,Fiona French,"Animals,Juvenile fiction,Hieroglyphic Writing,Fiction,Egyptian language,Cats,Writing, Hieroglyphic,Pictorial works,Adventure stories,Historical fiction,Picture books,Historical - Ancient Civilizations,Children's 4-8 - Picturebooks,Children: Grades 2-3,Children's fiction,Egypt, fiction,Animals, fiction,Cats, fiction,Accessible book,Protected DAISY"
Betsy Who Cried Wolf,Gail Carson Levine,"Fiction,Shepherds,Wolves,Juvenile fiction,Wolves, fiction,Children's fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
Pig and small,Alex Latimer,"Pigs,Swine,Insects,Size,Friendship,Fiction,Children's fiction,Picture books,Friendship, fiction,Pigs, fiction,Insects, fiction,Size and shape, fiction,Accessible book,Protected DAISY"
Maddi's Fridge,Lois Brandt,"Juvenile fiction,Hunger,Friendship,Fiction,Poor,Picture books for children,Social Themes,Homelessness & Poverty,Best friends,JUVENILE FICTION,Children's fiction,Picture books,Accessible book,Protected DAISY"
The Bremen town musicians,Ilse Plume,"Fairy tales,Folklore,Donna Harsh Collection,Caldecott Honor Book 1981,Children's fiction,Musicians, fiction,Picture books,Animals, fiction,collectionID:caldecotthonor80,Germany, fiction,Accessible book,Protected DAISY"
Jack's fantastic voyage,Michael Foreman,"Fiction,Grandfathers,Sea stories,Juvenile fiction,Ocean travel,Children's picture books,Voyages and travels,Imagination,Adventure stories,Picture books,Children's fiction,Grandparents, fiction,Accessible book,Protected DAISY"
A porcupine named Fluffy,Helen Lester,"Fiction,Porcupines,Rhinoceroses,Personal Names,Juvenile fiction,Children's fiction,Names, personal, fiction,Porcupines, fiction,Rhinoceroses, fiction,Friendship, fiction,Picture books,Names, fiction,Accessible book,Protected DAISY"
Parade,Donald Crews,"Parades,Juvenile literature,Pictorial works,Children's fiction,Parades, fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
"The pinkish, purplish, bluish egg",Bill Peet,"Juvenile fiction,Birds,Nestlings,Eggs,Infancy,Children's fiction,Animals, fiction,Picture books,Eggs, fiction,Accessible book,Protected DAISY"
War and peas,Michael Foreman,"Fiction,Children's stories,Food supply,Hunger,Children's fiction,Food, fiction,War, fiction,Picture books,Accessible book,Protected DAISY"
"Potatoes, potatoes",Anita Lobel,"Brothers,Mothers,Potatoes,Juvenile fiction,Peace,Picture books,Soldiers,Mothers and sons,Fiction,Children's fiction,War, fiction,Family, fiction,Accessible book,Protected DAISY"
Who Hoots?,Katie Davis,"Children's questions and answers,Questions and answers,Picture books,Primers,Animal sounds,Juvenile fiction,Animals,Readers"
Why did the chicken cross the road?,Joanna Cole,"Juvenile Riddles,Juvenile Wit and humor,Jokes,Riddles,Wit and humor,Picture books,Pictorial American wit and humor,Chickens,Juvenile literature,Caricatures and cartoons,Cartoons and comics,Humor,Juvenile humor,Riddles, juvenile literature,Wit and humor, juvenile,Accessible book,Protected DAISY"
The going to bed book,Sandra Boynton,"Animales,Animals,Bedtime,Children,Cuentos en rima,Ficción juvenil,Fiction,Hora de acostarse,Juvenile fiction,Night,Sleep,Stories in rhyme,Human body, juvenile literature,Anatomy,Picture books for children,Picture books,Accessible book,Protected DAISY"
At Mary Bloom's,Aliki,"Mice,Animals,Fiction,Juvenile fiction,Animal babies,Picture books,Children's fiction,Mice, fiction,Accessible book,Protected DAISY"
The summer night,Charlotte Zolotow,"Fiction,Sleep,Bedtime,Children's stories,Picture books,Summer, fiction,Children's fiction,Sleep, fiction,Accessible book,Protected DAISY"
Nini at carnival,Errol Lloyd,"Carnival,Children's stories,Fiction,Carnivals,Pictorial works,Juvenile fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
The king's toothache,Colin West,"Reyes, reinas, soberanos,Dolor de muelas,story in rhyme,Fiction,Stories in rhyme,Ficción juvenil,Cuentos en rima,Kings, queens, rulers,Toothache,Kings and rulers,Children's fiction,Kings, queens, rulers, etc., fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
Theodore's rival,Edward Ormondroyd,"Toys,Fiction,Children's fiction,Toys, fiction,Picture books,Love, fiction,Accessible book,Protected DAISY"
"You Look Ridiculous, Said the Rhinoceros to the Hippopotamus",Bernard Waber,"Animals,Juvenile fiction,Self-perception,Hippopotamus,Rhinoceroses,Self-acceptance,Fiction,Children's fiction,Animals, fiction,Picture books,Hippopotamus, fiction,Accessible book,Protected DAISY"
I touch,Rachel Isadora,"Fiction,Senses and sensation,Touch,Children's stories, American,Picture books,Picture books for children,Children's fiction,Touch, fiction,Accessible book,Protected DAISY"
Diary of a worm,Doreen Cronin,"Picture books,Diaries,Worms,Fiction,Juvenile fiction,Children's fiction,Worms, fiction,Diaries, fiction,Vers,Romans, nouvelles, etc. pour la jeunesse,Journaux intimes,Accessible book,Protected DAISY"
Ella Bella Ballerina And The Nutcracker,James Mayhew,"Ballet,Juvenile fiction,Ballerinas,Fiction,Ella Bella (Fictitious character),Pictorial works,Children's fiction,Ballet, fiction,Picture books,Dancers, fiction,Accessible book,Protected DAISY"
"Good Night, Mr. Night",Dan Yaccarino,"Night,Fiction,Bedtime,Juvenile fiction,Children's fiction,Night, fiction,Bedtime, fiction,Picture books,Accessible book,Protected DAISY"
World of Reading,Marvel Press Book Group,"Children's fiction,Picture books,Spider-man (fictitious character), fiction,Readers"
Out to lunch,Peggy Perry Anderson,"Fiction,Frogs,Stories in rhyme,Restaurants,Behavior,Human behavior,Juvenile fiction,Children's fiction,Restaurants, fiction,Behavior, fiction,Frogs, fiction,Conduct of life,JUVENILE FICTION,Animals,Frogs & Toads,Family,Parents,Humorous Stories,Reader,Beginner,Picture books,Accessible book,Protected DAISY"
The Night Gardener,Eric Fan,"topiaries,Juvenile Fiction,juvenile literature,picture books,Gardeners,Topiary work,Fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
The Patchwork Bike,Maxine Beneba Clarke,"Children's fiction,Bicycles and bicycling, fiction,Picture books"
Gentle Giant,Michael Morpurgo,"Giants,Juvenile fiction,Helping behavior,Picture books,Fiction,Children's fiction,Giants, fiction,Accessible book,Protected DAISY"
One world,Michael Foreman,"Fiction,Ecology,Tide pool ecology,Beaches,Pollution, fiction,Ecology, fiction,Picture books,Children's fiction,Children's picture books,Seashore ecology,Marine pollution,Conservation of natural resources,Accessible book,Protected DAISY"
How do dinosaurs say I love you?,Mark Teague,"Love,Stories in rhyme,Fiction,Dinosaurs,Behavior,Conduct of life,Picture books,Juvenile fiction,Love stories,Children's fiction,Dinosaurs, fiction,Conduct of life, fiction,Love, fiction,nyt:picture-books=2010-02-14,New York Times bestseller"
A bear sat on my porch today,Rilla Alexander,"Bears,Stories in rhyme,Juvenile fiction,Helping behavior,Animals,Children's fiction,Bears, fiction,Animals, fiction,Helpfulness, fiction,Picture books"
Brian Wildsmith's Birds,Brian Wildsmith,"Birds,Juvenile literature,Pictorial works,Picture books,Photography of birds,Juvenile fiction,Accessible book,Protected DAISY"
Wild animals,Brian Wildsmith,"Animals,Pictorial works,Juvenile literature,Picture books"
Dustland,Virginia Hamilton,"Fiction,Fantasy,Extrasensory perception,Time travel,Fantasy fiction,Juvenile fiction,Space and time,Children's fiction,Picture books,Adventure and adventurers, fiction,African americans, fiction,Space and time, fiction,Extrasensory perception, fiction,Dustland (imaginary place), fiction,Accessible book,Protected DAISY"
Open season,Monique Z. Stephens,"Juvenile fiction,Hunters,Forest animals,Fiction,Mule deer,Picture books,Adventure and adventurers, fiction,Children's fiction,Animals, fiction,Accessible book,Protected DAISY"
"Tickle, Tickle",Helen Oxenbury,"Babies in fiction,Ficción juvenil,Babies,Niños lactantes,Fiction,Play,Bedtime,Picture books,Children's fiction,Children, fiction,Accessible book,Protected DAISY"
The Ant and the Elephant,Bill Peet,"Animals,Children's stories,Fiction,Gratitude,Jungle animals,Elephants,Juvenile fiction,Ants,Mutualism,Cooperation,Selfishness,Animals, fiction,Children's fiction,Picture books,JUVENILE FICTION,Ants, fiction,Elephants, fiction,Accessible book,Protected DAISY"
Time Flies,Eric Rohmann,"Fiction,Dinosaurs,Birds,Stories without words,Time travel,Juvenile fiction,Museums,Imagination,Caldecott Medal,Picture books,Children's fiction,Birds, fiction,Dinosaurs, fiction,Time travel, fiction,collectionID:caldecotthonor90,Accessible book,Protected DAISY"
Because a little bug went ka-choo!,Dr. Seuss,"Insects,Sneezing,Picture books,Fiction,Readers,Juvenile fiction,Children's stories,Insects, fiction,Northmen, fiction,Children's fiction,Accessible book,Protected DAISY"
The butter battle book,Dr. Seuss,"Picture books,Children's stories, American,Fiction,Stories in rhyme,Juvenile fiction,War,Accessible book,Protected DAISY"
The many mice of Mr. Brice,Roy McKie,"Toy and movable books,Fiction,Stories in rhyme,Mice,Specimens,Children's fiction,Picture books"
Nana in the City,Lauren Castillo,"Picture books,Juvenile fiction,Caldecott Honor books,fear,juvenile literature,Courage,City and town life,Grandmothers,Fiction,Children's fiction,Grandparents, fiction,Courage, fiction,New york (n.y.), fiction,Valentía,Vida urbana,Spanish language materials,Ficción juvenil,Picture books for children,Abuelas,collectionID:caldecotthonor10"
Around the World with Ant and Bee,Angela Banner,"Children's fiction,Ants, fiction,Bees, fiction,Picture books,Readers,Lost articles,Juvenile fiction,Umbrellas,Ants,Bees,Voyages around the world,Geography,Fiction,Accessible book,Protected DAISY"
Owl Diaries,Rebecca Elliott,"Gifts,Owls,Picture books,Juvenile fiction,Fiction,Friendship,Holidays,Children's fiction,Owls, fiction,Holidays, fiction,Gifts, fiction,Friendship, fiction,JUVENILE FICTION,Animals,Birds,Social Themes,Readers,Chapter Books,Girls & Women,Reader,Accessible book,Protected DAISY"
Eva and the New Owl,Rebecca Elliott,"social situations,early chapter books,Juvenile fiction,juvenile literature,Picture books,Diaries,Elementary schools,Jealousy,Fiction,Owls,Schools,Best friends,Friendship,Children's fiction,Owls, fiction,Friendship, fiction,Jealousy, fiction,Schools, fiction,Diaries, fiction,Spanish language materials,Amistad,Escuelas,Diarios íntimos,Ficción juvenil,Mejores amigos,Novela juvenil,Celos,Lechuzas,Accessible book,Protected DAISY"
Run! Run!,Harriet Ziefert,"Animals,Juvenile fiction,Fiction,Juvenile literature,Pictorial works,Picture books,Picture books for children"
Bear Goes Shopping,Harriet Ziefert,"Shopping,Toy and movable books,Picture puzzles,Bears,Fiction,Specimens,Juvenile fiction,Pictorial works,Picture books for children,Picture books,Accessible book,Protected DAISY"
Bear's Busy Morning,Harriet Ziefert,"Toy and movable books,Juvenile fiction,Picture puzzles,Bears,Specimens,Fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
Little Donkey Close Your Eyes,Margaret Wise Brown,"Fiction,Animals,Stories in rhyme,Sleep,Bedtime,Juvenile fiction,Children's fiction,Night, fiction,Picture books for children,Picture books,Sleep, fiction,Animals, fiction,Accessible book,Protected DAISY"
The Twin Giants,Dick King-Smith,"Giants,Man-woman relationships,Brothers,Juvenile fiction,Twins,Humorous stories,Brothers and sisters,Fiction,Marriage,Adventure fiction,Man-woman relationship,Picture books for children,Silliness,Humorous fiction,Vegetareans,Picture books,Accessible book,Protected DAISY"
Henry and Mudge and the bedtime thumps,Cynthia Rylant,"Fiction,Dogs in fiction,Grandmothers in fiction,Dogs,Grandmothers,Juvenile fiction,Picture books,Children: Grades 1-2,Children's fiction,Dogs, fiction,Mudge (fictitious character), fiction,Accessible book,Protected DAISY"
Biscuit visits the big city,Alyssa Satin Capucilli,"Fiction,Dogs,City and town life,Puppies,Juvenile fiction,Animals,Beginner,City & Town Life,Reader,JUVENILE FICTION,Legends, Myths, Fables,Children's fiction,Dogs, fiction,Biscuit (fictitious character : capucilli), fiction,Biscuit (Fictitious character : Capucilli),Picture books,Accessible book,Protected DAISY"
Eloise,Kay Thompson,"Juvenile fiction,Hotels,Motels,Etiquette,Hotels, motels,Picture books,Behavior,Plaza Hotel (New York, N.Y.),Accessible book,Protected DAISY"
Our Kid,Tony Ross,"Tardiness,Excuses,Juvenile fiction,Goats,Children's fiction,Adventure and adventurers, fiction,Goats, fiction,Picture books"
I want a bedtime story!,Tony Ross,"Books and reading,Fiction,Bedtime,Princesses,Children's fiction,Princesses, fiction,Bedtime, fiction,Books and reading, fiction,Juvenile fiction,Picture books for children,Pictorial works,Picture books,Accessible book,Protected DAISY"
What's it like to be a fish?,Wendy Pfeffer,"Fishes,Juvenile literature,Fishes, juvenile literature,Reading (Elementary),Picture books,Accessible book,Protected DAISY"
The digging-est dog,Al Perkins,"Poetry,Picture books,Dogs"
A funny man,Paticia Jensen,"Stories in rhyme,Individuality,Fiction,Picture books,Humorous fiction,Juvenile fiction,Easy readers,Accessible book,Protected DAISY"
Rosie's Hat,Anna Currey,"Stories in rhyme,Hats,Juvenile poetry,Fiction,Juvenile fiction,Children's stories,Pictorial works,Children's fiction,Hats, fiction,Picture books,Accessible book,Protected DAISY"
There's a Snake in My School!,Tony Ross,"Children's fiction,Picture books,Kind,Individual differences,Snakes,Schlangen,Juvenile fiction,Deutschland,Individuality in children,Schools,Unterschied,Erzählung,Deutschland Grenzschutzkommando Mitte Schule,Humorous stories,Schools, fiction,Snakes, fiction,Accessible book,Protected DAISY"
Where`s Tumpty,Polly Dunbar,"Play,Picture books,Elephants,Juvenile fiction,Hiding places,Fiction,Animals,Hide-and-seek,Stuffed animals (Toys),Dwellings,Accessible book,Protected DAISY"
Meg on the Moon,Caroline Austin,"Meg (Fictitious character : Nicoll),Juvenile fiction,Mog (Fictitious character : Nicoll),Paranormal fiction,Magic,Witches,Zoos,Children's stories,Children's fiction,Picture books,Accessible book,Protected DAISY"
Kites,Demi,"Kites,Juvenile literature,picture books,Chinese culture,Accessible book,Protected DAISY"
The dragon,Archibald Marshall,"Fiction,Picture books,Dragons"
Sir Cumference and the First Round Table,Cindy Neuschwander,"Geometry,Shape,Juvenile literature,Juvenile fiction,Shapes,Picture books,Mathematics,Fiction,Geometry, juvenile literature,Size and shape,Mathematics, juvenile literature,Accessible book,Protected DAISY"
Thirteen,Jerry Joyner,"Children's stories, American,Picture books,Counting books"
Goody Two Shoes picture book,Walter Crane,"Fairy tales,Picture books"
Maisy Goes Camping,Lucy Cousins,"Mice,Counting,Animals,Camping,Fiction,Picture books,Night,Juvenile fiction,Pictorial works,Accessible book,Protected DAISY"
Through my window,Eileen Brown,"Fiction,Children's fiction,Picture books,Diseases,Juvenile fiction,Accessible book,Protected DAISY"
Twenty-one nursery rhymes,Margaret Shipton,"Nursery rhymes,Picture books"
Jack and the robbers,Val Biro,"Picture books,Animals,Children: Preschool,Fairy tales,Fiction,Accessible book,Protected DAISY"
Houndsley and Catina and the quiet time,James Howe,"Juvenile fiction,Cats,Quietude,Winter,Friendship,Snow,Dogs,Fiction,High interest-low vocabulary books,Picture books,JUVENILE FICTION / Social Themes / Friendship,JUVENILE FICTION / Concepts / Seasons,JUVENILE FICTION / Reader - Intermediate,Accessible book,Protected DAISY"
Friendship Day,A. A. Milne,"Teddy bears,Fiction,Toys,Juvenile works,Juvenile fiction,juvenile audience,picnics,primary school,bears,picture books,friendship,caring,animals,Winnie-the-Pooh (Fictitious character),Quakers,Children's stories,Accessible book,Protected DAISY"
Let's play house,Lois Lenski,"Play,Picture books"
Let's do nothing!,Tony Fucile,"Fiction,Play,Humorous stories,Friendship,Boys,Picture books,Humorous fiction,Juvenile fiction,Boredom,Imagination,Accessible book,Protected DAISY"
Super Happy Magic Forest,Matty Long,"picture books,fantasy,quests,juvenile literature,Humorous stories,Magic,Adventure and adventurers,Juvenile fiction,Quests (Expeditions),Fiction,Adventure stories,Heroes,Children's fiction,Heroes, fiction,Magic, fiction,Adventure and adventurers, fiction,Fantasy fiction,Picture books"
Have You Seen Elephant?,David Barrow,"humor,picture books,animals,Juvenile fiction,Hide-and-seek,Elephants"
Tiger In My Soup,Kashmira Sheth,"Books and reading,Babysitters,Brothers and sisters,Fiction,Juvenile fiction,Tiger,Imagination,Picture books for children,Children's fiction,Books and reading, fiction,Babysitters, fiction,Brothers and sisters, fiction,Imagination, fiction,Picture books,Accessible book,Protected DAISY"
Skeleton Hiccups,Margery Cuyler,"Skeleton,Hiccups,Fiction,Ghosts,Ghost stories,Juvenile fiction,Picture books,Accessible book,Protected DAISY"
A Sister More Like Me,Barbara Jean Hicks,"Children's fiction,Picture books,Artists, fiction,Sisters, fiction,Motion pictures, fiction,Sisters,Juvenile fiction,Brothers and sisters,Stories in rhyme,Accessible book,Protected DAISY"
Budgie at Bendick's Point,John Richardson,"Fiction,Picture books,Accessible book,Protected DAISY"
"Clarice Bean, That's Me!",Lauren Child,"Family life in fiction,Juvenile fiction,Family life,Family,Fiction,Children's fiction,Family life, fiction,Picture books"
Guinea pig party,Holly Surplice,"Counting,Stories in rhyme,JUVENILE FICTION / Holidays & Celebrations / Birthdays,Fiction,Guinea pigs,Parties,JUVENILE FICTION / Animals / Mice, Hamsters, Guinea Pigs, etc..,JUVENILE FICTION / Concepts / Counting & Numbers,Picture books,Board books for children,Juvenile fiction,JUVENILE FICTION / Animals / Mice, Hamsters, Guinea Pigs,Accessible book,Protected DAISY"
Ruth the Sleuth and the Messy Room,Carol Gordon Ekster,"messy rooms,organization,family,picture books,focus,time management"
Aunt Amelia,Rebecca Cobb,"Aunts,Juvenile fiction,Pictorial works,Children's stories,Children's fiction,Toy and movable books,Picture books,Accessible book,Protected DAISY"
Flash the Donkey Makes New Friends,Rachel Anne Ridge,"picture books,juvenile fiction,juvenile literature,donkeys,friendship,belonging"
My grandma is wonderful,Nick Butterworth,"Grandmothers,Fiction,Picture books,Grandparent and child,Grandparents,Juvenile fiction,Pictorial worksJuvenile fiction,Children's stories,Pictorial works,Accessible book,Protected DAISY"
The Whisperer,Nick Butterworth,"Cats,Rats,Gangs,Juvenile fiction,Pictorial works,Fiction,Children's fiction,Cats, fiction,Gangs, fiction,Rats, fiction,Picture books,Accessible book,Protected DAISY"
Georgia rises,Kathryn Lasky,"Deserts in fiction,Deserts,Juvenile fiction,Artists in fiction,O'Keeffe, Georgia, in fiction,Fiction,Artists,Painting,Painting in fiction,Picture books"
I'm a little teapot,Iza Trapani,"Children's songs,Imagination,Songs,Songs and music,Teapots,Texts,Fairy tales,Wizards,Picture books,Princesses,Kings, queens, rulers,Fiction,Buildings, structures,Church buildings,Buildings,St. Paul's Cathedral (London, England),History,Children's fiction,Kings, queens, rulers, etc., fiction,Princesses, fiction,Wizards, fiction,Accessible book"
Sun Bread,Elisa Kleven,"Bakeries,Animals,Fiction,Stories in rhyme,Bread,Picture books for children,Picture books,Baking,Bakers and bakeries"
The Rocket Book,Peter Newell,"American poetry,Stories in rhyme,Specimens,Toy and movable books,Children's poetry,Picture books"
A pirate's twelve days of Christmas,Philip Yates,"JUVENILE FICTION / Holidays & Celebrations / Christmas & Advent,Pirates,Juvenile poetry,Children's poetry, American,Santa Claus,Poetry,Christmas,Children's fiction,Picture books,Christmas, fiction"
Walt Disney's the Jungle Book,Rudyard Kipling,"Juvenile fiction,Jungles,Fiction,Picture books,Mowgli (Fictitious character),Accessible book,Protected DAISY"
A book takes root,Michael Kehoe,"Books,Publishing,Juvenile literature,Authorship,Picture books for children,Picture books,Bookbinding,Books, juvenile literature,Authorship, juvenile literature,Livres,Industrie et commerce,Ouvrages pour la jeunesse,Publishers and publishing,Accessible book,Protected DAISY"
The stone bird,Jenny McCartney,"Mothers and daughters,Stone,Eggs,Juvenile fiction,Birds,Children's fiction,Eggs, fiction,Birds, fiction,Mothers and daughters, fiction,Picture books,Imagination, fiction"
The storm whale in winter,Benji Davies,"Winter,Whales,Juvenile fiction,Human-animal relationships,Friendship,Fiction,Winter storms,Storms,Fathers and sons,Children's fiction,Picture books,Accessible book,Protected DAISY"
The weaver,Qian Shi,"Juvenile fiction,Spiders,Collectors and collecting,Self-esteem,Children's fiction,Picture books,Spiders, fiction"
You're safe with me,Chitra Soundar,"Forest animals,Bedtime,Infancy,Mother and child,Juvenile fiction,Storms,Fear,Children's fiction,Picture books"
"Thank you, Mr. Panda",Steve Antony,"Gifts,Gratitude,Juvenile fiction,Animals,Pandas,Children's fiction,Pandas, fiction,Animals, fiction,Gifts, fiction,Picture books"
Googly Eyes,Dynamo,"Children's fiction,Lion, fiction,Toy and movable books,Picture books,Seals (animals), fiction,Cats, fiction"
"The Bear, the Piano, the Dog, and the Fiddle",David Litchfield,"Children's fiction,Musicians, fiction,Friendship, fiction,Dogs, fiction,Animals, fiction,Music, fiction,New orleans (la.), fiction,Picture books"
Ben and Holly's Little Kingdom,Ben and Holly's Little Kingdom Staff,"Student activities,Creative activities and seat work,Children's fiction,Picture books,Adventure and adventurers, fiction,Friendship, fiction"
Tickle Test,Kathryn White,"Children's fiction,Stories in rhyme,Mice, fiction,Animals, fiction,Picture books"
Blue Chameleon,Emily Gravett,"Children's fiction,Picture books,Toy and movable books,Lizards, fiction,Friendship, fiction"
We Share Everything!,Michael Martchenko,"Children's fiction,Sharing, fiction,Kindergarten, fiction,First day of school, fiction,Picture books,American literature,Behavior, fiction,Sharing,Fiction,First day of school,Kindergarten,Accessible book,Protected DAISY"
Goodnight Moon,Clement Hurd,"Children's fiction,Stories in rhyme,Picture books"
Shady Bay Buddies,Emma Brown,"Children's fiction,Picture books,Physicians, fiction"
Velveteen Rabbit,Margery Williams Bianco,"Children's fiction,Rabbits, fiction,Toys, fiction,Love, fiction,Picture books"
Look and Learn with Little Dino,Jan Lewis,"Vocabulary,Vocabulary, juvenile literature,Picture books,Toy and movable books,Counting books,Counting, juvenile literature,Color,Color, juvenile literature"
Pigeon P.I.,Meg McLaren,"Pigeons,Detective and mystery stories,Juvenile fiction,Birds,Children's fiction,Mystery and detective stories,Pigeons, fiction,Birds, fiction,Detectives, fiction,Picture books"
Can I Come Too?,Brian Patten,"Mice,Fiction,Animals,Size,Children's fiction,Picture books,Mice, fiction,Animals, fiction,Size and shape, fiction,Juvenile fiction,Accessible book,Protected DAISY"
Where's my teddy?,Jez Alborough,"Teddy bears,Bears,Juvenile fiction,Children's stories,Children's fiction,Picture books,Bears, fiction,Toy and movable books,Stories in rhyme,Teddy bears, fiction"
The night box,Louise Greig,"Juvenile fiction,Bedtime,Night,Children's fiction,Picture books"
Franky,Leo Timmers,"Imagination,Juvenile fiction,Friendship,Robots,Children's fiction,Robots, fiction,Imagination, fiction,Friendship, fiction,Picture books"
